gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene11650,1768.047634,1.197455552,0.471219794,1.88E-05,0.000190771
gene1184,1047.294273,1.197212249,0.950000136,0.001026527,0.004742239
gene12449,9246.082488,1.187693706,0.227062899,7.81E-11,6.37E-09
gene8279,697.6784154,1.185563805,0.271094653,7.34E-09,3.01E-07
gene1639,90.15608872,1.174086083,0.241746799,5.88E-10,3.73E-08
gene4492,5266.856176,1.16010084,0.293776023,5.44E-08,1.56E-06
gene4689,37.53760426,1.159461489,0.550056223,8.72E-05,0.00065892
gene4977,437.1620133,1.156099068,1.221118534,0.001842252,0.007512936
gene4381,74.09348871,1.143035788,0.558006983,0.000107773,0.000788346
gene4837,4675.765176,1.142270036,0.414257331,8.50E-06,9.94E-05
gene10126,9246.909494,1.14028685,0.33748801,6.88E-07,1.29E-05
gene585,282.3946503,1.140036926,0.522696088,6.90E-05,0.000548419
gene6065,173.3189307,1.139078024,0.839865484,0.000874705,0.004165373
gene535,31.5645739,1.138015544,0.305318331,1.49E-07,3.67E-06
gene7009,45.61875387,1.133942811,1.214506897,0.001947872,0.0078523
gene6660,144.3836984,1.133740488,0.600633737,0.00018397,0.001199126
gene6235,2091.939332,1.132951242,0.230047846,3.75E-10,2.53E-08
gene1328,5154.745249,1.131933393,0.20392941,1.03E-11,1.12E-09
gene10603,15.73753612,1.128574388,1.054934209,0.001667078,0.006934569
gene7589,173.0874004,1.122150143,0.304640283,1.81E-07,4.30E-06
gene1179,1240.413773,1.107556828,0.595879602,0.000207352,0.001319974
gene430,103.413537,1.102840139,0.358779224,2.51E-06,3.71E-05
gene8744,35110.60324,1.10064206,0.260744972,1.45E-08,5.33E-07
gene2977,1512.883042,1.098293811,1.244778761,0.002163851,0.008526811
gene9335,317.065886,1.098072739,0.18921064,2.11E-12,2.85E-10
gene11900,1412.27685,1.095853399,0.201011898,1.81E-11,1.79E-09
gene3719,834.2495623,1.092833871,0.461039852,3.72E-05,0.000331729
gene740,27.31453746,1.087292419,0.569868866,0.000181293,0.001187969
gene11923,185.9377468,1.08678876,0.331749778,1.11E-06,1.91E-05
gene7759,1759.346082,1.085675634,0.237575712,2.51E-09,1.28E-07
gene7987,10531.73697,1.081414576,0.166469173,2.23E-14,5.59E-12
gene1222,1121.404558,1.07288946,0.174395039,2.29E-13,3.84E-11
gene2449,72.46874631,1.07149557,1.300790047,0.002314239,0.008989479
gene6976,347.1646027,1.069144634,0.472853712,5.66E-05,0.000467471
gene11229,101.2398407,1.065466386,0.512882483,0.000106829,0.000782368
gene4234,333.2828392,1.061516738,0.441715439,3.47E-05,0.000312194
gene8705,399.401069,1.059130482,0.31159449,6.87E-07,1.29E-05
gene7327,6963.360888,1.055033617,0.24069964,6.94E-09,2.89E-07
gene7222,157.4075338,1.050691174,0.414181937,2.18E-05,0.000213335
gene3350,9055.348306,1.049834157,0.619562346,0.000374244,0.002105893
gene10356,6798.67105,1.048790236,0.164067906,4.83E-14,1.06E-11
gene7530,1177.242882,1.047496541,0.523523073,0.000141828,0.000980722
gene7138,442.3991153,1.039053611,0.462896264,6.31E-05,0.000511973
gene13392,924.9827733,1.027531903,0.584679359,0.000319679,0.001865603
gene5878,614.7079611,1.026985673,0.281954152,2.58E-07,5.77E-06
gene7567,62.70296817,1.02677916,0.469073473,7.84E-05,0.000603619
gene11963,3639.363503,1.023849963,0.284331224,3.14E-07,6.82E-06
gene411,1592.629869,1.02263132,0.346310508,4.76E-06,6.23E-05
gene12039,190.5514496,1.017995499,0.207987643,5.34E-10,3.47E-08
gene8756,1054.213442,1.01584016,0.525543409,0.000187502,0.001215016
gene12601,158.1209397,1.012941538,0.541379025,0.000229872,0.001437998
gene4616,71.10342855,1.006488726,0.988533232,0.002281219,0.00888654
gene5605,35.06053876,1.005485498,0.487946645,0.00012628,0.000895421
gene6123,174.9336,1.004954749,0.248284907,4.33E-08,1.30E-06
gene2109,195.1102319,1.003962583,0.488253681,0.000128571,0.000907053
gene3250,34.27561254,1.002597631,0.629141359,0.000548173,0.002860247
gene8825,42732.47496,-1.006431867,0.648271654,0.000613896,0.003144325
gene1454,21748.75985,-1.012973249,0.479918733,0.000105159,0.000773372
gene355,4467.466255,-1.013664799,0.452416841,6.76E-05,0.000539029
gene12295,14.20274698,-1.016034406,0.724557074,0.000922533,0.004337962
gene1498,883.5906478,-1.020854908,0.478176961,9.53E-05,0.000708309
gene2142,4236.940034,-1.024839893,0.655041264,0.000574318,0.002978927
gene1983,293.5917576,-1.038723937,0.359931416,5.93E-06,7.43E-05
gene9823,7.304309761,-1.050155007,1.102722126,0.002286141,0.008902885
gene7489,796.0821797,-1.05026219,0.699496083,0.00066232,0.003348433
gene7763,15.05178911,-1.053762216,1.125821415,0.002307319,0.008968276
gene12435,1909.923726,-1.058390146,0.69731066,0.000624446,0.003187717
gene5513,3557.837736,-1.064458002,0.225605781,1.19E-09,6.96E-08
gene5989,68525.16507,-1.07921445,0.794101256,0.000940689,0.004406047
gene9825,3.671967356,-1.083388036,1.572608006,0.001900644,0.007707504
gene3336,1559.331857,-1.083836312,0.513083758,9.25E-05,0.000690121
gene7362,24962.60713,-1.087696782,0.691770319,0.000511922,0.002711465
gene541,225.9097645,-1.102051379,0.2762157,4.44E-08,1.32E-06
gene1165,3.870732043,-1.103714186,1.137967496,0.002007284,0.008033721
gene7669,130.8932043,-1.10688231,0.495253784,5.90E-05,0.000483834
gene7460,3655.16221,-1.114055889,1.334703999,0.002088285,0.008282249
gene10629,1.593892153,-1.117188094,1.390451033,0.002043026,0.008136949
gene6063,4623.114879,-1.118952102,0.346700851,1.31E-06,2.19E-05
gene8297,4226.301749,-1.119260602,0.896480936,0.001173146,0.005236894
gene11061,322.084089,-1.119370785,0.995690491,0.001534947,0.006477191
gene8330,279306.7796,-1.129732107,0.837702678,0.000902858,0.004269607
gene3693,119791.6457,-1.131796862,0.141955681,3.50E-19,5.37E-16
gene13642,4237.458058,-1.131861688,0.915381986,0.001184966,0.005275447
gene12331,52.07325518,-1.132346893,0.467443435,2.97E-05,0.000275965
gene1496,4575.365263,-1.144187085,0.470503379,2.85E-05,0.000265807
gene8748,1732.245177,-1.150384331,0.576081909,0.000127072,0.000898436
gene2494,1204.589474,-1.151743439,0.461474212,2.25E-05,0.000218932
gene6796,3008.266664,-1.153696041,0.863881027,0.000905565,0.004278706
gene11481,78351.50437,-1.154522932,0.565143504,0.000108807,0.000794961
gene13500,69.04967413,-1.157782671,0.897701954,0.001008583,0.004674079
gene8119,9416.824983,-1.167798975,0.364062323,1.42E-06,2.32E-05
gene8301,1608.916021,-1.170175192,0.939923419,0.001101758,0.004985341
gene838,24.5336472,-1.170353581,0.830220505,0.000732626,0.00363263
gene2021,15717.06567,-1.181671739,1.009252153,0.001270534,0.005584054
gene1970,1095.10931,-1.192178704,0.461807529,1.63E-05,0.000168664
gene7675,92095.65922,-1.200611552,0.89234315,0.000834474,0.004021008
gene8079,37.87213963,-1.203689629,1.078562933,0.001360437,0.005888667
gene8309,1077.002076,-1.204406713,0.42641685,6.57E-06,8.03E-05
gene7301,6793.208673,-1.219398272,0.539925227,5.11E-05,0.000429895
gene3661,37723.74031,-1.235786802,0.508567434,2.82E-05,0.000263681
gene9919,1461.492305,-1.240177115,0.481707254,1.68E-05,0.000173055
gene5642,63613.82687,-1.246646838,0.50912238,2.64E-05,0.000249799
gene9926,922.7218451,-1.246835224,0.452727491,8.76E-06,0.000101705
gene7490,1816.659069,-1.269724559,1.089497154,0.001128029,0.005072407
